concept,name,indicator_code,indicator_unit,concept_type
sha11_dis_1_1_ext_millon_constant_2010_ncu,External sources of funding on HIV/AIDS and sexually transmitted diseases,sha11.DIS.1.1_ext,Millions,measure
sha11_dis_1_2_ext_millon_constant_2010_ncu,External sources of funding on tuberculosis,sha11.DIS.1.2_ext,Millions,measure
sha11_dis_1_3_ext_millon_constant_2010_ncu,External sources of funding on malaria,sha11.DIS.1.3_ext,Millions,measure
sha11_dis_2_3_ext_millon_constant_2010_ncu,External sources of funding on contraceptive management (family planning),sha11.DIS.2.3_ext,Millions,measure
heading_age_millon_constant_2010_ncu,AGE,Heading_AGE,Ones,measure
sha11_age_1_gghe_d_millon_constant_2010_ncu,Domestic General Government Health Expenditure in the < 5 year-old population,sha11.AGE.1_gghe-d,Millions,measure
sha11_age_1_ext_millon_constant_2010_ncu,External sources of funding in the < 5 year-old population,sha11.AGE.1_ext,Millions,measure
sha11_hf_million_constant_2010_us,Current health expenditure by financing schemes,sha11.HF,Millions,measure
sha11_hf_nec_million_constant_2010_us,Unspecified financing schemes (n.e.c.),sha11.HF.nec,Millions,measure
sha11_hf_4_million_constant_2010_us,Rest of the world financing schemes (non-resident),sha11.HF.4,Millions,measure
sha11_hf_3_million_constant_2010_us,Household out-of-pocket payment,sha11.HF.3,Millions,measure
sha11_hf_2_3_million_constant_2010_us,Enterprise financing schemes,sha11.HF.2.3,Millions,measure
sha11_hf_2_2_million_constant_2010_us,NPISH financing schemes (including development agencies),sha11.HF.2.2,Millions,measure
sha11_hf_2_1_million_constant_2010_us,Voluntary health insurance schemes,sha11.HF.2.1,Millions,measure
sha11_hf_2_million_constant_2010_us,Voluntary health care payment schemes,sha11.HF.2,Millions,measure
sha11_hf_1_3_million_constant_2010_us,Compulsory Medical Saving Accounts (CMSA),sha11.HF.1.3,Millions,measure
sha11_hf_1_2_2_million_constant_2010_us,Compulsory private insurance schemes,sha11.HF.1.2.2,Millions,measure
sha11_hf_1_2_1_million_constant_2010_us,Social health insurance schemes,sha11.HF.1.2.1,Millions,measure
sha11_hf_1_2_million_constant_2010_us,Compulsory contributory health insurance schemes,sha11.HF.1.2,Millions,measure
sha11_hf_1_1_million_constant_2010_us,Government schemes,sha11.HF.1.1,Millions,measure
sha11_hf_1_million_constant_2010_us,Government schemes and compulsory contributory health care financing schemes,sha11.HF.1,Millions,measure
sha11_fs_million_constant_2010_us,Current health expenditure by revenues of health care financing schemes,sha11.FS,Millions,measure
sha11_hk_million_constant_2010_us,Capital health expenditure,sha11.HK,Millions,measure
sha11_fs_1_million_constant_2010_us,Transfers from government domestic revenue (allocated to health purposes),sha11.FS.1,Millions,measure
sha11_fs_1_1_million_constant_2010_us,Internal transfers and grants,sha11.FS.1.1,Millions,measure
sha11_fs_1_2_million_constant_2010_us,Transfers by government on behalf of specific groups,sha11.FS.1.2,Millions,measure
sha11_fs_1_3_million_constant_2010_us,Subsidies,sha11.FS.1.3,Millions,measure
sha11_fs_1_4_million_constant_2010_us,Other transfers from government domestic revenue,sha11.FS.1.4,Millions,measure
sha11_fs_2_million_constant_2010_us,Transfers distributed by government from foreign origin,sha11.FS.2,Millions,measure
sha11_fs_3_million_constant_2010_us,Social insurance contributions,sha11.FS.3,Millions,measure
sha11_fs_4_million_constant_2010_us,"Compulsory prepayment (Other, and unspecified, than FS.3)",sha11.FS.4,Millions,measure
sha11_fs_5_million_constant_2010_us,Voluntary prepayment,sha11.FS.5,Millions,measure
sha11_fs_6_million_constant_2010_us,Other domestic revenues n.e.c.,sha11.FS.6,Millions,measure
sha11_fs_6_1_million_constant_2010_us,Other revenues from households n.e.c.,sha11.FS.6.1,Millions,measure
sha11_fs_6_2_million_constant_2010_us,Other revenues from corporations n.e.c.,sha11.FS.6.2,Millions,measure
sha11_fs_6_3_million_constant_2010_us,Other revenues from NPISH n.e.c.,sha11.FS.6.3,Millions,measure
sha11_fs_6_nec_million_constant_2010_us,Unspecified other domestic revenues (n.e.c.),sha11.FS.6.nec,Millions,measure
sha11_fs_7_million_constant_2010_us,Direct foreign transfers,sha11.FS.7,Millions,measure
sha11_fs_nec_million_constant_2010_us,Unspecified revenues of health care financing schemes (n.e.c.),sha11.FS.nec,Millions,measure
sha11_hc_million_constant_2010_us,Current health expenditure by health care functions (preliminary data),sha11.HC,Millions,measure
sha11_hc_9_million_constant_2010_us,Other health care services not elsewhere classified (n.e.c.),sha11.HC.9,Millions,measure
sha11_hc_7_million_constant_2010_us,"Governance, and health system and financing administration",sha11.HC.7,Millions,measure
sha11_hc_6_million_constant_2010_us,Preventive care,sha11.HC.6,Millions,measure
sha11_hc_5_million_constant_2010_us,Medical goods (specified by function),sha11.HC.5,Millions,measure
sha11_hc_4_million_constant_2010_us,Ancillary services (specified by function),sha11.HC.4,Millions,measure
sha11_hc_3_nec_million_constant_2010_us,Unspecified long-term care (n.e.c.),sha11.HC.3.nec,Millions,measure
sha11_hc_3_4_million_constant_2010_us,Home-based long-term care (health),sha11.HC.3.4,Millions,measure
sha11_hc_3_3_million_constant_2010_us,Outpatient long-term care (health),sha11.HC.3.3,Millions,measure
sha11_hc_3_2_million_constant_2010_us,Day long-term care (health),sha11.HC.3.2,Millions,measure
sha11_hc_3_1_million_constant_2010_us,Inpatient long-term care (health),sha11.HC.3.1,Millions,measure
sha11_hc_3_million_constant_2010_us,Long-term care (health),sha11.HC.3,Millions,measure
sha11_hc_2_million_constant_2010_us,Rehabilitative care,sha11.HC.2,Millions,measure
sha11_hc_1_nec_million_constant_2010_us,Unspecified curative care (n.e.c.),sha11.HC.1.nec,Millions,measure
sha11_hc_1_4_million_constant_2010_us,Home-based curative care,sha11.HC.1.4,Millions,measure
sha11_hc_1_3_nec_million_constant_2010_us,Unspecified outpatient curative care (n.e.c.),sha11.HC.1.3.nec,Millions,measure
sha11_hc_1_3_3_million_constant_2010_us,Specialised outpatient curative care,sha11.HC.1.3.3,Millions,measure
sha11_hc_1_3_2_million_constant_2010_us,Dental outpatient curative care,sha11.HC.1.3.2,Millions,measure
sha11_hc_1_3_1_million_constant_2010_us,General outpatient curative care,sha11.HC.1.3.1,Millions,measure
sha11_hc_1_3_million_constant_2010_us,Outpatient curative care,sha11.HC.1.3,Millions,measure
sha11_hc_1_2_million_constant_2010_us,Day curative care,sha11.HC.1.2,Millions,measure
sha11_hc_1_1_million_constant_2010_us,Inpatient curative care,sha11.HC.1.1,Millions,measure
sha11_hc_1_million_constant_2010_us,Curative care,sha11.HC.1,Millions,measure
sha11_hc_gghe_d_million_constant_2010_us,Domestic general government health expenditure by health care functions (preliminary data),sha11.HC_gghe-d,Millions,measure
sha11_hc_1_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Curative care,sha11.HC.1_gghe-d,Millions,measure
sha11_hc_1_3_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Outpatient curative care,sha11.HC.1.3_gghe-d,Millions,measure
sha11_hc_1_1_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Inpatient curative care,sha11.HC.1.1_gghe-d,Millions,measure
sha11_hc_1_2_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Day curative care,sha11.HC.1.2_gghe-d,Millions,measure
sha11_hc_1_4_gghe_d_million_constant_2010_us,Domestic General Government on Home-based curative care,sha11.HC.1.4_gghe-d,Millions,measure
sha11_hc_1_nec_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Other curative care,sha11.HC.1.nec_gghe-d,Millions,measure
sha11_hc_1_3_1_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on General outpatient curative care,sha11.HC.1.3.1_gghe-d,Millions,measure
sha11_hc_1_3_2_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Dental outpatient curative care,sha11.HC.1.3.2_gghe-d,Millions,measure
sha11_hc_1_3_3_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Specialised outpatient curative care,sha11.HC.1.3.3_gghe-d,Millions,measure
sha11_hc_1_3_nec_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Outpatient curative care n.e.c.,sha11.HC.1.3.nec_gghe-d,Millions,measure
sha11_hc_2_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Rehabilitative care,sha11.HC.2_gghe-d,Millions,measure
sha11_hc_3_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Long-term care (health),sha11.HC.3_gghe-d,Millions,measure
sha11_hc_3_1_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Inpatient long-term care (health),sha11.HC.3.1_gghe-d,Millions,measure
sha11_hc_3_2_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Day long-term care (health),sha11.HC.3.2_gghe-d,Millions,measure
sha11_hc_3_3_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Outpatient long-term care (health),sha11.HC.3.3_gghe-d,Millions,measure
sha11_hc_3_4_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Home-based long-term care (health),sha11.HC.3.4_gghe-d,Millions,measure
sha11_hc_3_nec_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Other Long-Term Care,sha11.HC.3.nec_gghe-d,Millions,measure
sha11_hc_4_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Ancillary services (non-specified by function),sha11.HC.4_gghe-d,Millions,measure
sha11_hc_5_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Medical goods (non-specified by function),sha11.HC.5_gghe-d,Millions,measure
sha11_hc_6_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Preventive care,sha11.HC.6_gghe-d,Millions,measure
sha11_hc_7_gghe_d_million_constant_2010_us,"Domestic General Government Expenditure on Governance, health system & financing administration",sha11.HC.7_gghe-d,Millions,measure
sha11_hc_9_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on Other health care services (n.e.c.),sha11.HC.9_gghe-d,Millions,measure
heading_hc_million_constant_2010_us,HEALTH CARE FUNCTIONS (preliminary data),Heading_HC,Ones,measure
heading_dis_million_constant_2010_us,DISEASES AND CONDITIONS,Heading_DIS,Ones,measure
sha11_dis_gghe_d_million_constant_2010_us,Domestic general government health expenditure by disease and condition ,sha11.DIS_gghe-d,Ones,measure
sha11_dis_ext_million_constant_2010_us,External sources of funding by disease and condition,sha11.DIS_ext,Ones,measure
sha11_dis_1_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on infectious and parasitic diseases,sha11.DIS.1_gghe-d,Millions,measure
sha11_dis_2_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on reproductive health,sha11.DIS.2_gghe-d,Millions,measure
sha11_dis_3_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on nutritional deficiencies,sha11.DIS.3_gghe-d,Millions,measure
sha11_dis_4_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on noncommunicable diseases,sha11.DIS.4_gghe-d,Millions,measure
sha11_dis_5_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on injuries,sha11.DIS.5_gghe-d,Millions,measure
sha11_hc_6_2_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on immunization programmes,sha11.HC.6.2_gghe-d,Millions,measure
sha11_dis_1_ext_million_constant_2010_us,External sources of funding on infectious and parasitic diseases,sha11.DIS.1_ext,Millions,measure
sha11_dis_2_ext_million_constant_2010_us,External sources of funding on reproductive health,sha11.DIS.2_ext,Millions,measure
sha11_dis_3_ext_million_constant_2010_us,External sources of funding on nutritional deficiencies,sha11.DIS.3_ext,Millions,measure
sha11_dis_4_ext_million_constant_2010_us,External sources of funding on noncommunicable diseases,sha11.DIS.4_ext,Millions,measure
sha11_dis_5_ext_million_constant_2010_us,External sources of funding on injuries,sha11.DIS.5_ext,Millions,measure
sha11_hc_6_2_ext_million_constant_2010_us,External sources of funding on immunization programmes ,sha11.HC.6.2_ext,Millions,measure
sha11_dis_1_1_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on HIV/AIDS and sexually transmitted diseases,sha11.DIS.1.1_gghe-d,Millions,measure
sha11_dis_1_2_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on tuberculosis,sha11.DIS.1.2_gghe-d,Millions,measure
sha11_dis_1_3_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on malaria,sha11.DIS.1.3_gghe-d,Millions,measure
sha11_dis_2_3_gghe_d_million_constant_2010_us,Domestic General Government Expenditure on contraceptive management (family planning),sha11.DIS.2.3_gghe-d,Millions,measure
sha11_dis_1_1_ext_million_constant_2010_us,External sources of funding on HIV/AIDS and sexually transmitted diseases,sha11.DIS.1.1_ext,Millions,measure
sha11_dis_1_2_ext_million_constant_2010_us,External sources of funding on tuberculosis,sha11.DIS.1.2_ext,Millions,measure
sha11_dis_1_3_ext_million_constant_2010_us,External sources of funding on malaria,sha11.DIS.1.3_ext,Millions,measure
sha11_dis_2_3_ext_million_constant_2010_us,External sources of funding on contraceptive management (family planning),sha11.DIS.2.3_ext,Millions,measure
heading_age_million_constant_2010_us,AGE,Heading_AGE,Ones,measure
sha11_age_1_gghe_d_million_constant_2010_us,Domestic General Government Health Expenditure in the < 5 year-old population,sha11.AGE.1_gghe-d,Millions,measure
sha11_age_1_ext_million_constant_2010_us,External sources of funding in the < 5 year-old population,sha11.AGE.1_ext,Millions,measure
sha11_hf_million_constant_2010_ppp,Current health expenditure by financing schemes,sha11.HF,Millions,measure
sha11_hf_nec_million_constant_2010_ppp,Unspecified financing schemes (n.e.c.),sha11.HF.nec,Millions,measure
sha11_hf_4_million_constant_2010_ppp,Rest of the world financing schemes (non-resident),sha11.HF.4,Millions,measure
sha11_hf_3_million_constant_2010_ppp,Household out-of-pocket payment,sha11.HF.3,Millions,measure
sha11_hf_2_3_million_constant_2010_ppp,Enterprise financing schemes,sha11.HF.2.3,Millions,measure
sha11_hf_2_2_million_constant_2010_ppp,NPISH financing schemes (including development agencies),sha11.HF.2.2,Millions,measure
sha11_hf_2_1_million_constant_2010_ppp,Voluntary health insurance schemes,sha11.HF.2.1,Millions,measure
sha11_hf_2_million_constant_2010_ppp,Voluntary health care payment schemes,sha11.HF.2,Millions,measure
sha11_hf_1_3_million_constant_2010_ppp,Compulsory Medical Saving Accounts (CMSA),sha11.HF.1.3,Millions,measure
sha11_hf_1_2_2_million_constant_2010_ppp,Compulsory private insurance schemes,sha11.HF.1.2.2,Millions,measure
sha11_hf_1_2_1_million_constant_2010_ppp,Social health insurance schemes,sha11.HF.1.2.1,Millions,measure
sha11_hf_1_2_million_constant_2010_ppp,Compulsory contributory health insurance schemes,sha11.HF.1.2,Millions,measure
sha11_hf_1_1_million_constant_2010_ppp,Government schemes,sha11.HF.1.1,Millions,measure
sha11_hf_1_million_constant_2010_ppp,Government schemes and compulsory contributory health care financing schemes,sha11.HF.1,Millions,measure
sha11_fs_million_constant_2010_ppp,Current health expenditure by revenues of health care financing schemes,sha11.FS,Millions,measure
sha11_hk_million_constant_2010_ppp,Capital health expenditure,sha11.HK,Millions,measure
sha11_fs_1_million_constant_2010_ppp,Transfers from government domestic revenue (allocated to health purposes),sha11.FS.1,Millions,measure
sha11_fs_1_1_million_constant_2010_ppp,Internal transfers and grants,sha11.FS.1.1,Millions,measure
sha11_fs_1_2_million_constant_2010_ppp,Transfers by government on behalf of specific groups,sha11.FS.1.2,Millions,measure
sha11_fs_1_3_million_constant_2010_ppp,Subsidies,sha11.FS.1.3,Millions,measure
sha11_fs_1_4_million_constant_2010_ppp,Other transfers from government domestic revenue,sha11.FS.1.4,Millions,measure
sha11_fs_2_million_constant_2010_ppp,Transfers distributed by government from foreign origin,sha11.FS.2,Millions,measure
sha11_fs_3_million_constant_2010_ppp,Social insurance contributions,sha11.FS.3,Millions,measure
sha11_fs_4_million_constant_2010_ppp,"Compulsory prepayment (Other, and unspecified, than FS.3)",sha11.FS.4,Millions,measure
sha11_fs_5_million_constant_2010_ppp,Voluntary prepayment,sha11.FS.5,Millions,measure
sha11_fs_6_million_constant_2010_ppp,Other domestic revenues n.e.c.,sha11.FS.6,Millions,measure
sha11_fs_6_1_million_constant_2010_ppp,Other revenues from households n.e.c.,sha11.FS.6.1,Millions,measure
sha11_fs_6_2_million_constant_2010_ppp,Other revenues from corporations n.e.c.,sha11.FS.6.2,Millions,measure
sha11_fs_6_3_million_constant_2010_ppp,Other revenues from NPISH n.e.c.,sha11.FS.6.3,Millions,measure
sha11_fs_6_nec_million_constant_2010_ppp,Unspecified other domestic revenues (n.e.c.),sha11.FS.6.nec,Millions,measure
sha11_fs_7_million_constant_2010_ppp,Direct foreign transfers,sha11.FS.7,Millions,measure
sha11_fs_nec_million_constant_2010_ppp,Unspecified revenues of health care financing schemes (n.e.c.),sha11.FS.nec,Millions,measure
sha11_hc_million_constant_2010_ppp,Current health expenditure by health care functions (preliminary data),sha11.HC,Millions,measure
sha11_hc_9_million_constant_2010_ppp,Other health care services not elsewhere classified (n.e.c.),sha11.HC.9,Millions,measure
sha11_hc_7_million_constant_2010_ppp,"Governance, and health system and financing administration",sha11.HC.7,Millions,measure
sha11_hc_6_million_constant_2010_ppp,Preventive care,sha11.HC.6,Millions,measure
sha11_hc_5_million_constant_2010_ppp,Medical goods (specified by function),sha11.HC.5,Millions,measure
sha11_hc_4_million_constant_2010_ppp,Ancillary services (specified by function),sha11.HC.4,Millions,measure
sha11_hc_3_nec_million_constant_2010_ppp,Unspecified long-term care (n.e.c.),sha11.HC.3.nec,Millions,measure
sha11_hc_3_4_million_constant_2010_ppp,Home-based long-term care (health),sha11.HC.3.4,Millions,measure
sha11_hc_3_3_million_constant_2010_ppp,Outpatient long-term care (health),sha11.HC.3.3,Millions,measure
sha11_hc_3_2_million_constant_2010_ppp,Day long-term care (health),sha11.HC.3.2,Millions,measure
sha11_hc_3_1_million_constant_2010_ppp,Inpatient long-term care (health),sha11.HC.3.1,Millions,measure
sha11_hc_3_million_constant_2010_ppp,Long-term care (health),sha11.HC.3,Millions,measure
sha11_hc_2_million_constant_2010_ppp,Rehabilitative care,sha11.HC.2,Millions,measure
sha11_hc_1_nec_million_constant_2010_ppp,Unspecified curative care (n.e.c.),sha11.HC.1.nec,Millions,measure
sha11_hc_1_4_million_constant_2010_ppp,Home-based curative care,sha11.HC.1.4,Millions,measure
sha11_hc_1_3_nec_million_constant_2010_ppp,Unspecified outpatient curative care (n.e.c.),sha11.HC.1.3.nec,Millions,measure
sha11_hc_1_3_3_million_constant_2010_ppp,Specialised outpatient curative care,sha11.HC.1.3.3,Millions,measure
sha11_hc_1_3_2_million_constant_2010_ppp,Dental outpatient curative care,sha11.HC.1.3.2,Millions,measure
sha11_hc_1_3_1_million_constant_2010_ppp,General outpatient curative care,sha11.HC.1.3.1,Millions,measure
sha11_hc_1_3_million_constant_2010_ppp,Outpatient curative care,sha11.HC.1.3,Millions,measure
sha11_hc_1_2_million_constant_2010_ppp,Day curative care,sha11.HC.1.2,Millions,measure
sha11_hc_1_1_million_constant_2010_ppp,Inpatient curative care,sha11.HC.1.1,Millions,measure
sha11_hc_1_million_constant_2010_ppp,Curative care,sha11.HC.1,Millions,measure
sha11_hc_gghe_d_million_constant_2010_ppp,Domestic general government health expenditure by health care functions (preliminary data),sha11.HC_gghe-d,Millions,measure
sha11_hc_1_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Curative care,sha11.HC.1_gghe-d,Millions,measure
sha11_hc_1_3_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Outpatient curative care,sha11.HC.1.3_gghe-d,Millions,measure
sha11_hc_1_1_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Inpatient curative care,sha11.HC.1.1_gghe-d,Millions,measure
sha11_hc_1_2_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Day curative care,sha11.HC.1.2_gghe-d,Millions,measure
sha11_hc_1_4_gghe_d_million_constant_2010_ppp,Domestic General Government on Home-based curative care,sha11.HC.1.4_gghe-d,Millions,measure
sha11_hc_1_nec_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Other curative care,sha11.HC.1.nec_gghe-d,Millions,measure
sha11_hc_1_3_1_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on General outpatient curative care,sha11.HC.1.3.1_gghe-d,Millions,measure
sha11_hc_1_3_2_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Dental outpatient curative care,sha11.HC.1.3.2_gghe-d,Millions,measure
sha11_hc_1_3_3_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Specialised outpatient curative care,sha11.HC.1.3.3_gghe-d,Millions,measure
sha11_hc_1_3_nec_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Outpatient curative care n.e.c.,sha11.HC.1.3.nec_gghe-d,Millions,measure
sha11_hc_2_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Rehabilitative care,sha11.HC.2_gghe-d,Millions,measure
sha11_hc_3_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Long-term care (health),sha11.HC.3_gghe-d,Millions,measure
sha11_hc_3_1_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Inpatient long-term care (health),sha11.HC.3.1_gghe-d,Millions,measure
sha11_hc_3_2_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Day long-term care (health),sha11.HC.3.2_gghe-d,Millions,measure
sha11_hc_3_3_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Outpatient long-term care (health),sha11.HC.3.3_gghe-d,Millions,measure
sha11_hc_3_4_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Home-based long-term care (health),sha11.HC.3.4_gghe-d,Millions,measure
sha11_hc_3_nec_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Other Long-Term Care,sha11.HC.3.nec_gghe-d,Millions,measure
sha11_hc_4_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Ancillary services (non-specified by function),sha11.HC.4_gghe-d,Millions,measure
sha11_hc_5_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Medical goods (non-specified by function),sha11.HC.5_gghe-d,Millions,measure
sha11_hc_6_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Preventive care,sha11.HC.6_gghe-d,Millions,measure
sha11_hc_7_gghe_d_million_constant_2010_ppp,"Domestic General Government Expenditure on Governance, health system & financing administration",sha11.HC.7_gghe-d,Millions,measure
sha11_hc_9_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on Other health care services (n.e.c.),sha11.HC.9_gghe-d,Millions,measure
heading_hc_million_constant_2010_ppp,HEALTH CARE FUNCTIONS (preliminary data),Heading_HC,Ones,measure
heading_dis_million_constant_2010_ppp,DISEASES AND CONDITIONS,Heading_DIS,Ones,measure
sha11_dis_gghe_d_million_constant_2010_ppp,Domestic general government health expenditure by disease and condition ,sha11.DIS_gghe-d,Ones,measure
sha11_dis_ext_million_constant_2010_ppp,External sources of funding by disease and condition,sha11.DIS_ext,Ones,measure
sha11_dis_1_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on infectious and parasitic diseases,sha11.DIS.1_gghe-d,Millions,measure
sha11_dis_2_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on reproductive health,sha11.DIS.2_gghe-d,Millions,measure
sha11_dis_3_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on nutritional deficiencies,sha11.DIS.3_gghe-d,Millions,measure
sha11_dis_4_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on noncommunicable diseases,sha11.DIS.4_gghe-d,Millions,measure
sha11_dis_5_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on injuries,sha11.DIS.5_gghe-d,Millions,measure
sha11_hc_6_2_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on immunization programmes,sha11.HC.6.2_gghe-d,Millions,measure
sha11_dis_1_ext_million_constant_2010_ppp,External sources of funding on infectious and parasitic diseases,sha11.DIS.1_ext,Millions,measure
sha11_dis_2_ext_million_constant_2010_ppp,External sources of funding on reproductive health,sha11.DIS.2_ext,Millions,measure
sha11_dis_3_ext_million_constant_2010_ppp,External sources of funding on nutritional deficiencies,sha11.DIS.3_ext,Millions,measure
sha11_dis_4_ext_million_constant_2010_ppp,External sources of funding on noncommunicable diseases,sha11.DIS.4_ext,Millions,measure
sha11_dis_5_ext_million_constant_2010_ppp,External sources of funding on injuries,sha11.DIS.5_ext,Millions,measure
sha11_hc_6_2_ext_million_constant_2010_ppp,External sources of funding on immunization programmes ,sha11.HC.6.2_ext,Millions,measure
sha11_dis_1_1_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on HIV/AIDS and sexually transmitted diseases,sha11.DIS.1.1_gghe-d,Millions,measure
sha11_dis_1_2_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on tuberculosis,sha11.DIS.1.2_gghe-d,Millions,measure
sha11_dis_1_3_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on malaria,sha11.DIS.1.3_gghe-d,Millions,measure
sha11_dis_2_3_gghe_d_million_constant_2010_ppp,Domestic General Government Expenditure on contraceptive management (family planning),sha11.DIS.2.3_gghe-d,Millions,measure
sha11_dis_1_1_ext_million_constant_2010_ppp,External sources of funding on HIV/AIDS and sexually transmitted diseases,sha11.DIS.1.1_ext,Millions,measure
sha11_dis_1_2_ext_million_constant_2010_ppp,External sources of funding on tuberculosis,sha11.DIS.1.2_ext,Millions,measure
sha11_dis_1_3_ext_million_constant_2010_ppp,External sources of funding on malaria,sha11.DIS.1.3_ext,Millions,measure
sha11_dis_2_3_ext_million_constant_2010_ppp,External sources of funding on contraceptive management (family planning),sha11.DIS.2.3_ext,Millions,measure
heading_age_million_constant_2010_ppp,AGE,Heading_AGE,Ones,measure
sha11_age_1_gghe_d_million_constant_2010_ppp,Domestic General Government Health Expenditure in the < 5 year-old population,sha11.AGE.1_gghe-d,Millions,measure
sha11_age_1_ext_million_constant_2010_ppp,External sources of funding in the < 5 year-old population,sha11.AGE.1_ext,Millions,measure
sha11_hf_constant_2010_ncu_per_capita,Current health expenditure by financing schemes,sha11.HF,Millions,measure
sha11_hf_nec_constant_2010_ncu_per_capita,Unspecified financing schemes (n.e.c.),sha11.HF.nec,Millions,measure
sha11_hf_4_constant_2010_ncu_per_capita,Rest of the world financing schemes (non-resident),sha11.HF.4,Millions,measure
sha11_hf_3_constant_2010_ncu_per_capita,Household out-of-pocket payment,sha11.HF.3,Millions,measure
sha11_hf_2_3_constant_2010_ncu_per_capita,Enterprise financing schemes,sha11.HF.2.3,Millions,measure
sha11_hf_2_2_constant_2010_ncu_per_capita,NPISH financing schemes (including development agencies),sha11.HF.2.2,Millions,measure
sha11_hf_2_1_constant_2010_ncu_per_capita,Voluntary health insurance schemes,sha11.HF.2.1,Millions,measure
sha11_hf_2_constant_2010_ncu_per_capita,Voluntary health care payment schemes,sha11.HF.2,Millions,measure
sha11_hf_1_3_constant_2010_ncu_per_capita,Compulsory Medical Saving Accounts (CMSA),sha11.HF.1.3,Millions,measure
sha11_hf_1_2_2_constant_2010_ncu_per_capita,Compulsory private insurance schemes,sha11.HF.1.2.2,Millions,measure
sha11_hf_1_2_1_constant_2010_ncu_per_capita,Social health insurance schemes,sha11.HF.1.2.1,Millions,measure
sha11_hf_1_2_constant_2010_ncu_per_capita,Compulsory contributory health insurance schemes,sha11.HF.1.2,Millions,measure
sha11_hf_1_1_constant_2010_ncu_per_capita,Government schemes,sha11.HF.1.1,Millions,measure
sha11_hf_1_constant_2010_ncu_per_capita,Government schemes and compulsory contributory health care financing schemes,sha11.HF.1,Millions,measure
sha11_fs_constant_2010_ncu_per_capita,Current health expenditure by revenues of health care financing schemes,sha11.FS,Millions,measure
sha11_hk_constant_2010_ncu_per_capita,Capital health expenditure,sha11.HK,Millions,measure
